sepal.length,sepal.width,petal.length,petal.width,variety,sepal.ratio,sepal.length.inches
5.1,3.5,1.4,0.2,Iris-setosa,1.457142857142857,2.0078751
4.9,3.0,1.4,0.2,Iris-setosa,1.6333333333333335,1.9291349000000002
4.7,3.2,1.3,0.2,Iris-setosa,1.46875,1.8503947000000003
4.6,3.1,1.5,0.2,Iris-setosa,1.4838709677419353,1.8110245999999999
5.0,3.6,1.4,0.2,Iris-setosa,1.3888888888888888,1.9685050000000002
5.4,3.9,1.7,0.4,Iris-setosa,1.3846153846153848,2.1259854000000002
4.6,3.4,1.4,0.3,Iris-setosa,1.352941176470588,1.8110245999999999
5.0,3.4,1.5,0.2,Iris-setosa,1.4705882352941178,1.9685050000000002
4.4,2.9,1.4,0.2,Iris-setosa,1.517241379310345,1.7322844000000002
4.9,3.1,1.5,0.1,Iris-setosa,1.5806451612903227,1.9291349000000002
5.4,3.7,1.5,0.2,Iris-setosa,1.4594594594594594,2.1259854000000002
4.8,3.4,1.6,0.2,Iris-setosa,1.411764705882353,1.8897648
4.8,3.0,1.4,0.1,Iris-setosa,1.5999999999999999,1.8897648
4.3,3.0,1.1,0.1,Iris-setosa,1.4333333333333333,1.6929143
5.8,4.0,1.2,0.2,Iris-setosa,1.45,2.2834658
5.7,4.4,1.5,0.4,Iris-setosa,1.2954545454545454,2.2440957000000004
5.4,3.9,1.3,0.4,Iris-setosa,1.3846153846153848,2.1259854000000002
5.1,3.5,1.4,0.3,Iris-setosa,1.457142857142857,2.0078751
5.7,3.8,1.7,0.3,Iris-setosa,1.5000000000000002,2.2440957000000004
5.1,3.8,1.5,0.3,Iris-setosa,1.3421052631578947,2.0078751
5.4,3.4,1.7,0.2,Iris-setosa,1.5882352941176472,2.1259854000000002
5.1,3.7,1.5,0.4,Iris-setosa,1.3783783783783783,2.0078751
4.6,3.6,1.0,0.2,Iris-setosa,1.2777777777777777,1.8110245999999999
